id;name;place;postcode;street;number;longitude;latitude
1;A-1;Wrocław;50-370;wybrzeże Stanisława Wyspiańskiego;27;78324;4950
2;D-1;Wrocław;50-370;plac Grunwaldzki;13;97166;21589
3;C-13;Wrocław;50-370;wybrzeże Stanisława Wyspiańskiego;23-25;4247;95401
4;C-4;Wrocław;50-372;Janiszewskiego;11;56544;54462
5;B-4;Wrocław;50-370;Łukasiewicza;3/5;91201;23139
6;D-20;Wrocław;50-372;Janiszewskiego;8;58394;7550
7;D-21;Wrocław;50-377;plac Grunwaldzki;11;5326;59846
8;D-2;Wrocław;50-384;plac Grunwaldzki;9;240;32510
9;C-7;Wrocław;50-384;plac Grunwaldzki;11;43845;87001
10;A-2;Wrocław;50-371;Łukasiewicza;2;66832;34154
