id;day_of_week;week_type;semester_period;start_time;end_time;lecturer_id;class_group_id
1;Wednesday;Odd;FirstHalf;2021-01-16T12:44:22;2021-01-16T11:28:29;1;1
2;Sunday;All;Whole;2021-01-16T05:16:55;2021-01-16T13:43:53;2;2
3;Sunday;Even;Whole;2021-01-16T06:04:20;2021-01-16T12:57:46;3;3
4;Monday;All;SecondHalf;2021-01-16T21:22:12;2021-01-17T00:41:38;4;4
5;Saturday;Even;Whole;2021-01-16T10:42:13;2021-01-17T02:06:00;5;5
6;Friday;Even;Whole;2021-01-16T06:41:19;2021-01-16T15:27:22;6;6
7;Saturday;Odd;SecondHalf;2021-01-16T10:24:01;2021-01-16T19:54:59;7;7
8;Thursday;Odd;FirstHalf;2021-01-16T21:35:45;2021-01-17T00:06:51;8;8
9;Saturday;Odd;SecondHalf;2021-01-16T14:13:08;2021-01-16T14:04:06;9;9
10;Sunday;Even;FirstHalf;2021-01-16T04:16:52;2021-01-16T09:06:48;10;10
