id;day;start_time;end_time;class_group_id;room_id
1;2021-01-18;2021-01-18T06:30:00;2021-01-18T11:00:00;1;1
2;2021-01-19;2021-01-19T08:15:00;2021-01-19T10:00:00;2;2
3;2021-01-19;2021-01-19T14:15:00;2021-01-19T15:55:00;3;3
4;2021-01-20;2021-01-20T08:15:00;2021-01-19T10:00:00;4;4
5;2021-01-20;2021-01-20T09:30:00;2021-01-20T10:15:00;5;5
6;2021-01-21;2021-01-21T08:15:00;2021-01-19T10:00:00;6;6
7;2021-01-21;2021-01-21T12:15:00;2021-01-21T14:00:00;7;7
8;2021-01-22;2021-01-22T08:15:00;2021-01-19T10:00:00;8;8
9;2021-01-18;2021-01-18T08:15:00;2021-01-19T10:00:00;9;9
10;2021-01-18;2021-01-18T16:05:00;2021-01-18T16:50:00;10;10
